"SKUID";"SKUGROUP";"DESCRIPTION";"MU";"BASEUNITS";"UNITSPERPARCEL";"UNITSPERPALLET";"MANUFACTURER";"COUNTRYOFORIGIN";"TRADITIONALTRADE";"LOCATION";"NETWEIGHT"
"00000055";"Группа 1";"Паланга 40% вес.  (Литва)";"kg";1;0;0;"ZP";"Литва";1;"SPB";
"00000609";"Группа 2";"Паланга 45%  фас. 850 г.х10шт.";"kg";1;0;0;"ZP";"Литва";1;"SPB";0.85
"00000169";"Группа 1";"Паланга Лайт 30%";"vnt";1;0;0;"ZP";"Литва";1;"SPB";
"00000561";"Группа 2";"Паланга нарезка  170 г.х14шт";"vnt";1;14;0;"ZP";"Литва";1;"SPB";0.17
"00000546";"";"Паланга фасовка 250 г.х8 шт";"vnt";1;0;0;" ";"Литва";1;"SPB";0.25
"00000763";"";"Патиссоны, фаршированные свежим сыром 250г";"vnt";1;0;0;" ";"Германия";1;"SPB";0.25
"00000764";"";"Пеперони, фаршированные свежим сыром 250г";"vnt";1;0;0;" ";"Германия";1;"SPB";0.25
"00000765";"";"Перец сладкий,фаршированный свежим сыром 250г";"vnt";1;0;0;" ";"Германия";1;"SPB";0.25
"00001309";"Группа 1";"Пиппиро 45%  сыр полутвердый с перцем ялапено (Литва)";"kg";1;0;0;"Vilkyskiu";"Литва";1;"SPB";
"00001337";"Группа 3";"Пиппиро 45%  сыр с перцем ялапено 175гх17шт (Литва)";"vnt";1;17;0;"Vilkyskiu";"Литва";1;"SPB";0.175
"00000615";"Группа 4";"Пирятинский нежный сыр";"kg";1;0;0;"Украина";"Украина";1;"SPB";
"00000614";"Группа 4";"Пирятинский сливочный сыр";"kg";1;0;0;"Украина";"Украина";1;"SPB";
"00000052";"";"Пицарелла  40% (Литва)";"vnt";1;0;0;" ";"Литва";1;"SPB";
"00000145";"Группа 1";"Пицарелла тип Моцарелла порц 5 кг";"kg";1;0;0;"ZP";"Литва";1;"SPB";5
"00000839";"Группа 6";"Пицца Моцарелла (М)40%";"kg";1;0;0;"Vilkyskiu";"Литва";1;"SPB";
"00000628";"";"Пицца Моцарелла 40% фас.250гх13шт";"vnt";1;0;0;" ";"Литва";1;"SPB";0.25
"00001163";"Группа 6";"Пицца Моцарелла сыр 40%";"kg";1;0;0;"Vilkyskiu";"Литва";1;"SPB";
"00001113";"Группа 6";"Пицца Моцарелла сырный продукт (Литва)";"kg";1;0;0;"Vilkyskiu";"Литва";1;"SPB";
"00000049";"";"Плав.сырки ""Сваля"" 60% с ветчиной185г";"vnt";1;0;0;" ";"Литва";1;"SPB";0.185
"00000048";"";"Плав.сырки ""Сваля"" 60% с лососем 185г";"vnt";1;0;0;" ";"Литва";1;"SPB";0.185
"00000018";"";"Плав.сырки ""Сваля"" 60% сливочный185г";"vnt";1;0;0;" ";"Литва";1;"SPB";0.185
"00001143";"Группа 4";"Полесский  (М) 30% (Молочные горки)";"vnt";1;0;0;"Белоруссия";" ";1;"SPB";
"00000716";"Группа 4";"Полесский 30% (Молочные горки)";"kg";1;0;0;"Белоруссия";" ";1;"SPB";
"00000699";"Группа 4";"Пошехонский  (Белебей) 45%";"kg";1;0;0;"Белебей";" ";1;"SPB";
"00000971";"";"Пошехонский 45 % (Савушкин продукт)";"vnt";1;0;0;" ";" ";1;"SPB";0.2
"00001059";"Группа 4";"Пошехонский 45%  Порховский";"kg";1;0;0;"Порхов";" ";1;"SPB";
"00000772";"";"Пошехонский 45% (Беловежские сыры)";"vnt";1;0;0;" ";"Беларусь";1;"SPB";
"00000994";"Группа 4";"Пошехонский 45% (Береза)";"kg";1;0;0;"Белоруссия";"Беларусь";1;"SPB";
"00000650";"Группа 4";"Пошехонский 45% (Вамин)";"kg";1;0;0;"Россия прочие";" ";1;"SPB";
"00001090";"Группа 4";"Пошехонский 45% (Воложин)";"kg";1;0;0;"Белоруссия";"Беларусь";1;"SPB";
"00000463";"Группа 4";"Пошехонский 45% (Дятлово)";"kg";1;16;0;"Белоруссия";" ";1;"SPB";
"00000797";"Группа 4";"Пошехонский 45% (Ичалки)";"kg";1;0;0;"Россия - Ичалки";" ";1;"SPB";
"00000127";"Группа 4";"Пошехонский 45% (Любань)";"kg";1;0;0;"Белоруссия";"Беларусь";1;"SPB";
"00000081";"";"Пошехонский 45% (Мол.Мир)";"vnt";1;0;0;" ";"----";1;"SPB";
"00000776";"Группа 4";"Пошехонский 45% (Молочные горки)";"kg";1;0;0;"Белоруссия";" ";1;"SPB";
"00000741";"Группа 4";"Пошехонский 45% (Мстиславль)";"kg";1;0;0;"Белоруссия";"Беларусь";1;"SPB";
"00000831";"";"Пошехонский 45% (Осиповичи)";"vnt";1;0;0;" ";" ";1;"SPB";
"00000466";"Группа 4";"Пошехонский 45% (Сернур)";"kg";1;0;0;"Сернур";" ";1;"SPB";
"00000087";"Группа 4";"Пошехонский 45% (Слуцкий)";"vnt";1;0;0;"Белоруссия";"----";1;"SPB";
"00000709";"";"Пошехонский 45% (Смоленск)";"vnt";1;0;0;" ";" ";1;"SPB";
"00000031";"Группа 4";"Пошехонский 45% (Толочин)";"kg";1;0;0;"Белоруссия";"Беларусь";1;"SPB";
"00000172";"";"Пошехонский сыр (Слуцк)";"vnt";1;0;0;" ";"----";1;"SPB";
"00000756";"Группа 4";"Презент Российский 45% (Ичалки)";"kg";1;0;0;"Россия - Ичалки";" ";1;"SPB";
"00000675";"Группа 4";"Презент сливочный 55% (Ичалки)";"kg";1;0;0;"Россия - Ичалки";" ";1;"SPB";
"00001272";"Группа 5";"Прочее";"vnt";1;0;0;" ";" ";1;"SPB";0.2
"00000059";"Группа 1";"Пруссия вес. 45% (Литва)";"kg";1;0;0;"Vilkyskiu";"Литва";1;"SPB";
"00001122";"Группа 2";"Пруссия слайс 40% 150гх10шт";"vnt";1;10;0;"Vilkyskiu";"Литва";1;"SPB";0.15
